,economic,governance,social
AND,Missing,Missing, 
CUB,Missing, , 
PRK,Missing, , 
MCO,Missing, , 
NRU,Missing, ,Missing
TKM,Missing, , 
TUV,Missing, ,Missing
COD, ,Missing, 
ROU, ,Missing, 
TLS, ,Missing, 
DMA, , ,Missing
KIR, , ,Missing
SLB, , ,Missing
SOM, , ,Missing
