,PC1
Capacity,0.38094814919486203
Economic,0.25544585802004555
Ecosystems,0.29608567805490005
Exposure,0.23424935192012503
Food,0.3623025601722026
Governance,0.29701194359908206
Habitat,0.2632512180552489
Health,0.37191997613828404
Infrastructure,0.11724960923260601
Sensitivity,0.28354508579724896
Social,0.3048157836500121
Water,0.18144854066080165
