Feature,RF Importance,Mean |SHAP|,SHAP Importance (%)
Capacity,67.59423259312179,0.06934160230369488,45.873353380318235
Health,24.35298631377757,0.03952534357739703,26.14822838190763
Governance,2.5918138045481363,0.01065897615258425,7.051509677817578
Food,1.368348820572032,0.006577133392115406,4.351142089341715
Economic,1.086574714296824,0.006384198087765927,4.223504580228498
Sensitivity,0.8251604230387007,0.005123674450029107,3.3895975986030646
Social,0.6165514612646269,0.0038421832725455806,2.541819415154173
Exposure,0.5810959213642586,0.0035490334091698842,2.3478843627576587
Ecosystems,0.41107895989717386,0.002501755840823995,1.6550515988188967
Habitat,0.21490672330245417,0.0013747611187938141,0.909481473181791
Water,0.1921662270566882,0.0011641056426200213,0.7701210779936821
Infrastructure,0.1650840377597462,0.0011160149082150516,0.7383063638770938
