Country,Year,Vulnerability,Readiness,Exposure,CompositeRisk
AFG,1995,0.5913762876506025,0.3081816666666667,0.480512,0.6315531059236947
AFG,1996,0.5913848237951808,0.30818033333333333,0.480512,0.6315587609437752
AFG,1997,0.591453359186747,0.3126136666666667,0.480512,0.6298265488453816
AFG,1998,0.5898198727409638,0.3170466666666667,0.480512,0.6270732569779116
AFG,1999,0.5883449585843373,0.3133776666666667,0.480512,0.6276559084839357
AFG,2000,0.5870449728915663,0.30970933333333334,0.480512,0.6283432504016064
AFG,2001,0.5845611272590361,0.3104983333333333,0.480512,0.6265373430220884
AFG,2002,0.5819625143072289,0.311304,0.480512,0.6246559085843373
AFG,2003,0.5708280993975904,0.3042916666666667,0.480512,0.6207801929718876
AFG,2004,0.5723622484939759,0.30401233333333333,0.480512,0.6218124157630522
AFG,2005,0.5775833659638554,0.244088,0.480512,0.6489148195783132
AFG,2006,0.5790433290662651,0.21643833333333332,0.480512,0.6608506641064258
AFG,2007,0.5740836438253012,0.20333,0.480512,0.6631181862951807
AFG,2008,0.572667798192771,0.19694833333333336,0.480512,0.6648213455823293
AFG,2009,0.5719438365963855,0.20476633333333336,0.480512,0.6612597686244979
AFG,2010,0.5568112748493976,0.19401833333333332,0.480512,0.6564794315763053
AFG,2011,0.5630001445783133,0.1870683333333333,0.480512,0.6629727534136547
AFG,2012,0.5537275143072289,0.20085966666666666,0.480512,0.6518926419176707
AFG,2013,0.5582591445783133,0.20236066666666666,0.480512,0.6540112200803213
AFG,2014,0.5534778855421687,0.2178876666666667,0.480512,0.6449316646586345
AFG,2015,0.552057170933735,0.219152,0.480512,0.6435735025602409
AFG,2016,0.5535174661144578,0.226482,0.480512,0.6415176796686748
AFG,2017,0.5578161762048193,0.2207596666666667,0.480512,0.6463858390562249
AFG,2018,0.5545518109939759,0.21453466666666668,0.480512,0.6469172199297188
AFG,2019,0.5448091935240964,0.22605366666666668,0.480512,0.6364640494477911
AFG,2020,0.5383276167168675,0.21687166666666666,0.480512,0.6362479033634538
AFG,2021,0.5419538546686747,0.24267033333333332,0.480512,0.6281041794678716
AFG,2022,0.545390125,0.240468,0.480512,0.631046875
