Country,Year,Indicator,Value
AFG,2006,Exposure,0.480512
AFG,2006,Vulnerability,0.5790433290662651
AFG,2006,Readiness,0.21643833333333332
AFG,2006,CompositeRisk,0.6608506641064258
AFG,2007,Capacity,0.819681
AFG,2007,Economic,0.244378
AFG,2007,Ecosystems,0.518156
AFG,2007,Food,0.6064
AFG,2007,Governance,0.05415
AFG,2007,Habitat,0.59378
AFG,2007,Health,0.764594
AFG,2007,Infrastructure,0.3457751506024096
AFG,2007,Sensitivity,0.426957
AFG,2007,Social,0.311462
AFG,2007,Water,0.517326
AFG,2007,Exposure,0.480512
AFG,2007,Vulnerability,0.5740836438253012
AFG,2007,Readiness,0.20333
AFG,2007,CompositeRisk,0.6631181862951807
AFG,2008,Capacity,0.806682
AFG,2008,Economic,0.233301
AFG,2008,Ecosystems,0.518102
AFG,2008,Food,0.606589
AFG,2008,Governance,0.040618
AFG,2008,Habitat,0.576649
AFG,2008,Health,0.779774
AFG,2008,Infrastructure,0.3439663855421687
AFG,2008,Sensitivity,0.433728
AFG,2008,Social,0.316926
AFG,2008,Water,0.515852
AFG,2008,Exposure,0.480512
AFG,2008,Vulnerability,0.572667798192771
AFG,2008,Readiness,0.19694833333333336
AFG,2008,CompositeRisk,0.6648213455823293
AFG,2009,Capacity,0.791206
AFG,2009,Economic,0.223552
AFG,2009,Ecosystems,0.517591
AFG,2009,Food,0.605034
AFG,2009,Governance,0.068166
AFG,2009,Habitat,0.559368
AFG,2009,Health,0.802052
AFG,2009,Infrastructure,0.3423616927710843
AFG,2009,Sensitivity,0.443515
AFG,2009,Social,0.322581
AFG,2009,Water,0.514423
AFG,2009,Exposure,0.480512
AFG,2009,Vulnerability,0.5719438365963855
AFG,2009,Readiness,0.20476633333333336
AFG,2009,CompositeRisk,0.6612597686244979
AFG,2010,Capacity,0.783362
AFG,2010,Economic,0.213381
AFG,2010,Ecosystems,0.509763
AFG,2010,Food,0.592699
AFG,2010,Governance,0.046759
AFG,2010,Habitat,0.541943
AFG,2010,Health,0.761624
AFG,2010,Infrastructure,0.3371851987951807
AFG,2010,Sensitivity,0.414945
AFG,2010,Social,0.321915
AFG,2010,Water,0.512969
AFG,2010,Exposure,0.480512
AFG,2010,Vulnerability,0.5568112748493976
AFG,2010,Readiness,0.19401833333333332
AFG,2010,CompositeRisk,0.6564794315763053
AFG,2011,Capacity,0.780181
AFG,2011,Economic,0.177526
AFG,2011,Ecosystems,0.509655
AFG,2011,Food,0.592614
AFG,2011,Governance,0.057089
AFG,2011,Habitat,0.537804
AFG,2011,Health,0.801086
AFG,2011,Infrastructure,0.336903156626506
AFG,2011,Sensitivity,0.434222
AFG,2011,Social,0.32659
AFG,2011,Water,0.511536
AFG,2011,Exposure,0.480512
AFG,2011,Vulnerability,0.5630001445783133
AFG,2011,Readiness,0.1870683333333333
AFG,2011,CompositeRisk,0.6629727534136547
AFG,2012,Capacity,0.753834
AFG,2012,Economic,0.175065
AFG,2012,Ecosystems,0.507987
AFG,2012,Food,0.566833
AFG,2012,Governance,0.096203
AFG,2012,Habitat,0.533639
AFG,2012,Health,0.803846
AFG,2012,Infrastructure,0.3348141144578313
AFG,2012,Sensitivity,0.418757
AFG,2012,Social,0.331311
AFG,2012,Water,0.51011
AFG,2012,Exposure,0.480512
AFG,2012,Vulnerability,0.5537275143072289
AFG,2012,Readiness,0.20085966666666666
AFG,2012,CompositeRisk,0.6518926419176707
AFG,2013,Capacity,0.756379
AFG,2013,Economic,0.178628
AFG,2013,Ecosystems,0.507907
AFG,2013,Food,0.573927
AFG,2013,Governance,0.092619
AFG,2013,Habitat,0.536066
AFG,2013,Health,0.819986
AFG,2013,Infrastructure,0.333201156626506
AFG,2013,Sensitivity,0.429944
AFG,2013,Social,0.335835
AFG,2013,Water,0.508663
AFG,2013,Exposure,0.480512
AFG,2013,Vulnerability,0.5582591445783133
AFG,2013,Readiness,0.20236066666666666
AFG,2013,CompositeRisk,0.6540112200803213
AFG,2014,Capacity,0.730864
AFG,2014,Economic,0.201495
AFG,2014,Ecosystems,0.50328
AFG,2014,Food,0.569203
AFG,2014,Governance,0.111251
AFG,2014,Habitat,0.538455
AFG,2014,Health,0.816863
AFG,2014,Infrastructure,0.3317930843373494
AFG,2014,Sensitivity,0.430145
AFG,2014,Social,0.340917
AFG,2014,Water,0.50722
AFG,2014,Exposure,0.480512
AFG,2014,Vulnerability,0.5534778855421687
AFG,2014,Readiness,0.2178876666666667
AFG,2014,CompositeRisk,0.6449316646586345
AFG,2015,Capacity,0.74247
AFG,2015,Economic,0.200231
AFG,2015,Ecosystems,0.503737
AFG,2015,Food,0.587182
AFG,2015,Governance,0.113601
AFG,2015,Habitat,0.536574
AFG,2015,Health,0.782909
AFG,2015,Infrastructure,0.3302223674698795
AFG,2015,Sensitivity,0.427601
AFG,2015,Social,0.343624
AFG,2015,Water,0.505762
AFG,2015,Exposure,0.480512
AFG,2015,Vulnerability,0.552057170933735
AFG,2015,Readiness,0.219152
