country,indicator,model,mae,shared_order
AZE,Economic,ets,0.021883270882765083,
AZE,Ecosystems,arima,0.0005371454871001657,
AZE,Exposure,ets,5.551115123125783e-17,
AZE,Food,arima_shared_order,0.010356830862693156,"(2, 0, 0)"
AZE,Governance,arima,0.029629010995916173,
AZE,Habitat,ets,0.0008430734998970957,
AZE,Health,arima_shared_order,0.004651015896142319,"(2, 0, 0)"
AZE,Infrastructure,ets,0.00011535017743393716,
AZE,Sensitivity,arima_shared_order,0.0027685159153256643,"(2, 0, 0)"
AZE,Social,ets,0.001625879422586296,
AZE,Water,arima,0.00025194188126042015,
BDI,Capacity,ets,0.0030632287252573944,
BDI,Economic,arima_shared_order,0.012529432305410548,"(2, 0, 0)"
BDI,Ecosystems,arima_shared_order,0.0015357367201337846,"(2, 0, 0)"
BDI,Exposure,ets,1.1102230246251565e-16,
BDI,Food,ets,0.00677033320647451,
BDI,Governance,ets,0.010871224059051143,
BDI,Habitat,ets,0.006180219994097125,
BDI,Health,arima_shared_order,0.0019389206825858318,"(2, 0, 0)"
BDI,Infrastructure,ets,0.005455264673393956,
BDI,Sensitivity,arima_shared_order,0.005230428141528432,"(2, 0, 0)"
BDI,Social,ets,0.0013427299290122096,
BDI,Water,ets,1.409618249903488e-09,
BEL,Capacity,ets,0.019844286651118582,
BEL,Economic,ets,0.007076274338354583,
BEL,Ecosystems,arima_shared_order,0.003196290663349233,"(2, 0, 0)"
BEL,Exposure,ets,0.0,
BEL,Food,ets,0.004991542219003148,
BEL,Governance,ets,0.009518244842902295,
BEL,Habitat,arima,0.0011041284144934992,
BEL,Health,ets,0.04253041106226529,
BEL,Infrastructure,arima_shared_order,0.0040762392689674964,"(2, 0, 0)"
BEL,Sensitivity,ets,0.0038741996290512113,
BEL,Social,arima_shared_order,0.012454341172593697,"(2, 0, 0)"
BEL,Water,arima,0.0004398345279393645,
BEN,Capacity,arima,0.006378993733185933,
BEN,Economic,arima_shared_order,0.006752776374335423,"(2, 0, 0)"
BEN,Ecosystems,ets,0.00033954464517305105,
BEN,Exposure,arima,0.0,
BEN,Food,arima,0.019862525965752376,
BEN,Governance,ets,0.08133476588274938,
BEN,Habitat,arima,0.0023534518901549228,
BEN,Health,arima,0.009569343222943338,
BEN,Infrastructure,arima,0.0343813811490967,
BEN,Sensitivity,arima,0.01847189986632323,
BEN,Social,ets,0.0013941911615272585,
BEN,Water,arima_shared_order,7.957973380601224e-07,"(2, 0, 0)"
BFA,Capacity,arima,0.002241823072071036,
BFA,Economic,arima,0.004849668293547049,
BFA,Ecosystems,ets,0.0002476000024681735,
BFA,Exposure,ets,1.1102230246251565e-16,
BFA,Food,arima_shared_order,0.005346911459800374,"(2, 0, 0)"
BFA,Governance,arima_shared_order,0.008820698760813572,"(2, 0, 0)"
BFA,Habitat,arima_shared_order,0.001642851001168899,"(2, 0, 1)"
BFA,Health,arima_shared_order,0.003536870223799493,"(2, 0, 0)"
BFA,Infrastructure,ets,0.003581206986987684,
BFA,Sensitivity,arima_shared_order,0.001965041385003452,"(2, 0, 0)"
BFA,Social,ets,0.002806200018044569,
BFA,Water,ets,0.00040915809108363896,
BGD,Capacity,arima_shared_order,0.04058048461950865,"(2, 0, 0)"
BGD,Economic,ets,0.03915952538527114,
BGD,Ecosystems,arima_shared_order,0.0001523813035631427,"(2, 0, 0)"
BGD,Exposure,ets,1.3322676295501878e-16,
BGD,Food,arima,0.008391963081557607,
BGD,Governance,arima,0.01040896542451617,
BGD,Habitat,arima_shared_order,0.001395510921799481,"(2, 0, 1)"
BGD,Health,arima_shared_order,0.024927877290310096,"(2, 0, 0)"
BGD,Infrastructure,arima_shared_order,0.09612655277977808,"(2, 0, 0)"
BGD,Sensitivity,arima_shared_order,0.024236775757920003,"(2, 0, 0)"
BGD,Social,ets,0.002458973378833762,
BGD,Water,ets,0.00045693882236308436,
BGR,Capacity,arima,0.024038342246340282,
BGR,Economic,arima,0.0015892232820918784,
BGR,Ecosystems,arima_shared_order,0.0016646249961285498,"(2, 0, 0)"
BGR,Exposure,arima,0.0,
BGR,Food,arima,0.004052728108447601,
BGR,Governance,ets,0.011737126773914808,
BGR,Habitat,ets,0.005451429492459292,
BGR,Health,ets,0.006019206632669205,
BGR,Infrastructure,ets,0.074908313959383,
BGR,Sensitivity,arima,0.0030489677494891843,
BGR,Social,ets,0.004990920337038784,
BGR,Water,ets,0.0016377679558198855,
BHR,Capacity,arima_shared_order,0.01059109960171446,"(2, 0, 0)"
BHR,Economic,ets,0.03941382848939984,
BHR,Ecosystems,arima_shared_order,0.0019189502184335683,"(2, 0, 0)"
BHR,Exposure,ets,4.4408920985006264e-17,
BHR,Food,arima_shared_order,0.007931428427091592,"(2, 0, 0)"
BHR,Governance,arima_shared_order,0.01030041172151428,"(2, 0, 0)"
BHR,Habitat,arima,0.025707865804290374,
BHR,Health,ets,0.0008751238738998746,
BHR,Infrastructure,ets,4.4408920985006264e-17,
BHR,Sensitivity,arima,0.002418634915287188,
BHR,Social,ets,0.012965338620460986,
BHR,Water,arima_shared_order,2.649265787602051e-06,"(2, 0, 0)"
BHS,Capacity,arima_shared_order,0.002519260361688702,"(2, 0, 0)"
BHS,Economic,ets,0.006233021239010439,
BHS,Ecosystems,ets,0.00026804814835594825,
BHS,Exposure,ets,6.661338147750939e-17,
BHS,Food,ets,0.006525031198982001,
BHS,Governance,arima_shared_order,0.009054550668792394,"(2, 0, 0)"
BHS,Habitat,arima,0.005737212980302875,
BHS,Health,ets,0.0003104926530678731,
BHS,Infrastructure,ets,0.005455264673393956,
BHS,Sensitivity,arima_shared_order,0.0012936246152442487,"(2, 0, 0)"
BHS,Social,arima,0.007647749391229097,
