,Country,Indicator,Order,AIC,BIC
143,BDI,Exposure,"(0, 1, 0)",-689.2990575720246,-687.9668530618494
144,BDI,Food,"(1, 0, 0)",-146.88903251754147,-142.78714502758206
145,BDI,Governance,"(2, 1, 2)",-145.69148405622383,-139.0304615053478
146,BDI,Habitat,"(1, 0, 1)",-219.95488187504807,-214.48569855510218
147,BDI,Health,"(1, 0, 0)",-117.76652554121416,-113.66463805125474
148,BDI,Infrastructure,"(1, 0, 3)",-245.09271251144173,-236.88893753152288
149,BDI,Readiness,"(1, 0, 1)",-162.95340143850103,-157.48421811855513
150,BDI,Sensitivity,"(1, 0, 0)",-162.13263459705163,-158.03074710709222
151,BDI,Social,"(2, 0, 1)",-236.7768838307744,-229.94040468084205
152,BDI,Vulnerability,"(1, 0, 0)",-206.43741674659248,-202.33552925663307
153,BDI,Water,"(2, 0, 0)",-462.9832652422364,-457.51408192229053
154,BEL,Capacity,"(1, 0, 0)",-211.52590612570566,-207.42401863574625
155,BEL,Economic,"(1, 0, 0)",-146.4080734361788,-142.3061859462194
156,BEL,Ecosystems,"(1, 0, 2)",-287.88591721657156,-281.0494380666392
157,BEL,Exposure,"(0, 1, 0)",-689.2990575720246,-687.9668530618494
158,BEL,Food,"(1, 0, 0)",-206.20216068166627,-202.10027319170686
159,BEL,Governance,"(1, 0, 0)",-165.4752613443296,-161.3733738543702
160,BEL,Habitat,"(2, 0, 0)",-294.6958036286548,-289.2266203087089
161,BEL,Health,"(2, 0, 1)",-180.3001348168496,-173.46365566691725
162,BEL,Infrastructure,"(0, 0, 0)",-211.13116083012588,-208.39656917015293
163,BEL,Readiness,"(1, 0, 2)",-196.42142844614153,-189.58494929620917
164,BEL,Sensitivity,"(2, 0, 0)",-237.3577760966856,-231.8885927767397
165,BEL,Social,"(2, 0, 1)",-178.66161084263135,-171.825131692699
166,BEL,Vulnerability,"(1, 0, 0)",-255.7783617438189,-251.67647425385948
167,BEL,Water,"(2, 0, 2)",-243.2682116206476,-235.06443664072876
168,BEN,Capacity,"(1, 1, 3)",-220.94102039139815,-214.27999784052213
