,Country,Indicator,Order,AIC,BIC
658,DOM,Capacity,"(1, 0, 0)",-230.77802223584467,-226.67613474588526
659,DOM,Economic,"(1, 0, 1)",-155.0199830130316,-149.5507996930857
660,DOM,Ecosystems,"(2, 0, 0)",-290.0662869607158,-284.5971036407699
661,DOM,Exposure,"(0, 1, 0)",-689.2990575720246,-687.9668530618494
662,DOM,Food,"(1, 0, 0)",-179.72383023831412,-175.6219427483547
663,DOM,Governance,"(1, 0, 0)",-133.21155715844884,-129.10966966848943
664,DOM,Habitat,"(2, 0, 2)",-276.3400570088362,-268.1362820289174
665,DOM,Health,"(0, 0, 1)",-179.17492219796688,-175.07303470800747
666,DOM,Infrastructure,"(1, 0, 3)",-221.56053420294856,-213.3567592230297
667,DOM,Readiness,"(1, 0, 0)",-184.1109839571013,-180.0090964671419
668,DOM,Sensitivity,"(0, 0, 1)",-202.91602829825766,-198.81414080829825
669,DOM,Social,"(3, 0, 0)",-205.98236365953628,-199.14588450960392
670,DOM,Vulnerability,"(1, 0, 2)",-254.47050670485152,-247.63402755491916
671,DOM,Water,"(2, 0, 0)",-338.68022192846433,-333.21103860851844
672,DZA,Capacity,"(2, 0, 0)",-156.66346424680643,-151.19428092686053
673,DZA,Economic,"(2, 0, 0)",-137.44220835037078,-131.97302503042488
674,DZA,Ecosystems,"(1, 0, 0)",-299.464637927562,-295.3627504376026
675,DZA,Exposure,"(0, 1, 0)",-689.2990575720246,-687.9668530618494
676,DZA,Food,"(0, 1, 1)",-182.09521569404313,-179.43080667369273
677,DZA,Governance,"(3, 0, 0)",-143.4381742478843,-136.60169509795193
678,DZA,Habitat,"(2, 0, 0)",-237.74312828129158,-232.27394496134568
679,DZA,Health,"(2, 0, 0)",-252.26575605147815,-246.79657273153225
680,DZA,Infrastructure,"(2, 0, 0)",-120.01103701449313,-114.54185369454723
681,DZA,Readiness,"(1, 0, 0)",-179.58274961838873,-175.48086212842932
682,DZA,Sensitivity,"(2, 0, 3)",-249.18482056105336,-239.61374975114805
683,DZA,Social,"(2, 1, 3)",-238.7368406574556,-230.74361359640437
684,DZA,Vulnerability,"(2, 0, 0)",-217.5896861906831,-212.1205028707372
685,DZA,Water,"(2, 0, 1)",-276.13881165626697,-269.3023325063346
686,ECU,Capacity,"(1, 0, 0)",-169.1569265556229,-165.0550390656635
687,ECU,Economic,"(0, 0, 2)",-188.91757657697855,-183.44839325703265
688,ECU,Ecosystems,"(2, 0, 0)",-224.02181659694207,-218.55263327699618
689,ECU,Exposure,"(0, 1, 0)",-689.2990575720246,-687.9668530618494
690,ECU,Food,"(1, 0, 0)",-156.6169345667797,-152.51504707682028
691,ECU,Governance,"(1, 0, 0)",-151.6017946149886,-147.49990712502918
692,ECU,Habitat,"(2, 0, 1)",-244.44354178774435,-237.607062637812
693,ECU,Health,"(1, 0, 0)",-260.09465194888793,-255.99276445892852
694,ECU,Infrastructure,"(0, 0, 2)",-142.2903642668407,-136.8211809468948
695,ECU,Readiness,"(1, 0, 2)",-210.19488069742118,-203.35840154748882
696,ECU,Sensitivity,"(2, 0, 0)",-237.88352036688968,-232.41433704694379
697,ECU,Social,"(1, 1, 2)",-187.78479017287023,-182.45597213216942
698,ECU,Vulnerability,"(1, 0, 0)",-225.77107516233986,-221.66918767238045
699,ECU,Water,"(1, 0, 2)",-368.058371877001,-361.2218927270686
700,EGY,Capacity,"(1, 0, 0)",-196.9372592418133,-192.8353717518539
701,EGY,Economic,"(1, 0, 1)",-138.23231708906243,-132.76313376911654
702,EGY,Ecosystems,"(2, 0, 0)",-299.85207159426733,-294.38288827432143
703,EGY,Exposure,"(0, 1, 0)",-689.2990575720246,-687.9668530618494
704,EGY,Food,"(1, 0, 0)",-188.42461837776636,-184.32273088780696
705,EGY,Governance,"(1, 0, 0)",-140.15036161159875,-136.04847412163934
706,EGY,Habitat,"(3, 1, 0)",-220.70923665368034,-215.38041861297953
707,EGY,Health,"(2, 0, 2)",-236.14232814826278,-227.93855316834393
708,EGY,Infrastructure,"(1, 0, 0)",-164.814616338637,-160.71272884867759
709,EGY,Readiness,"(2, 0, 0)",-170.89944154650223,-165.43025822655633
710,EGY,Sensitivity,"(1, 0, 0)",-212.47539958900484,-208.37351209904543
711,EGY,Social,"(2, 0, 1)",-222.21610178460827,-215.3796226346759
712,EGY,Vulnerability,"(1, 0, 2)",-246.0515419037486,-239.21506275381626
713,EGY,Water,"(2, 1, 0)",-379.7479614500712,-375.7513479195456
714,ERI,Capacity,"(1, 0, 1)",-231.65869107894932,-226.18950775900342
715,ERI,Economic,"(2, 0, 0)",-132.29229143557174,-126.82310811562584
716,ERI,Ecosystems,"(1, 0, 2)",-270.65136336550927,-263.8148842155769
717,ERI,Exposure,"(0, 1, 0)",-689.2990575720246,-687.9668530618494
718,ERI,Food,"(1, 0, 1)",-179.73339955518833,-174.26421623524243
719,ERI,Governance,"(1, 1, 1)",-115.69486296617818,-111.69824943565257
720,ERI,Habitat,"(1, 0, 1)",-223.3702310568206,-217.9010477368747
721,ERI,Health,"(0, 1, 0)",-105.06606118798072,-103.73385667780552
722,ERI,Infrastructure,"(0, 1, 0)",-179.8151802888492,-178.482975778674
723,ERI,Readiness,"(2, 0, 1)",-161.20442501873188,-154.36794586879952
724,ERI,Sensitivity,"(3, 0, 0)",-151.72883031243066,-144.8923511624983
725,ERI,Social,"(2, 1, 0)",-264.3113986559329,-260.3147851254073
726,ERI,Vulnerability,"(2, 0, 0)",-202.20794538224732,-196.73876206230142
727,ERI,Water,"(1, 0, 3)",-339.0585139490332,-330.8547389691144
728,ESP,Capacity,"(1, 0, 1)",-231.70529808230845,-226.23611476236255
729,ESP,Economic,"(1, 0, 0)",-153.5709921025461,-149.4691046125867
730,ESP,Ecosystems,"(2, 0, 1)",-295.9070648812237,-289.0705857312913
731,ESP,Exposure,"(0, 1, 0)",-689.2990575720246,-687.9668530618494
732,ESP,Food,"(3, 0, 2)",-203.48516037514554,-193.91408956524023
733,ESP,Governance,"(1, 1, 0)",-134.5146899288551,-131.8502809085047
734,ESP,Habitat,"(1, 0, 1)",-315.7968992216282,-310.3277159016823
735,ESP,Health,"(2, 0, 0)",-245.916508713288,-240.4473253933421
736,ESP,Infrastructure,"(1, 0, 3)",-210.80990987520775,-202.6061348952889
737,ESP,Readiness,"(1, 0, 0)",-198.79922819678842,-194.697340706829
738,ESP,Sensitivity,"(1, 0, 1)",-271.6897353939038,-266.2205520739579
739,ESP,Social,"(1, 1, 0)",-189.54930894108952,-186.88489992073912
740,ESP,Vulnerability,"(1, 0, 0)",-276.11633172727346,-272.014444237314
741,ESP,Water,"(1, 0, 0)",-291.0416389363615,-286.93975144640206
742,EST,Capacity,"(1, 0, 0)",-212.02277333608464,-207.92088584612523
743,EST,Economic,"(0, 1, 0)",-110.96001708156079,-109.62781257138559
744,EST,Ecosystems,"(1, 0, 0)",-246.11959725545304,-242.01770976549363
745,EST,Exposure,"(0, 1, 0)",-689.2990575720246,-687.9668530618494
746,EST,Food,"(0, 0, 2)",-230.45820143101483,-224.98901811106893
747,EST,Governance,"(0, 1, 0)",-139.11434046544136,-137.78213595526614
748,EST,Habitat,"(0, 0, 3)",-178.7162867771989,-171.87980762726653
749,EST,Health,"(1, 0, 0)",-268.16702797216595,-264.0651404822065
750,EST,Infrastructure,"(1, 0, 0)",-187.4077604599577,-183.3058729699983
751,EST,Readiness,"(1, 1, 0)",-153.6531573443763,-150.9887483240259
752,EST,Sensitivity,"(1, 0, 0)",-235.33432620782733,-231.23243871786792
753,EST,Social,"(2, 0, 1)",-160.21681106406183,-153.38033191412947
754,EST,Vulnerability,"(1, 0, 0)",-259.52924215713034,-255.42735466717093
755,EST,Water,"(2, 0, 1)",-271.4329581419689,-264.59647899203657
756,ETH,Capacity,"(2, 0, 1)",-190.28347132709789,-183.44699217716553
757,ETH,Economic,"(1, 0, 0)",-163.32486865439625,-159.22298116443685
758,ETH,Ecosystems,"(2, 0, 0)",-244.30817295035143,-238.83898963040554
759,ETH,Exposure,"(0, 1, 0)",-689.2990575720246,-687.9668530618494
760,ETH,Food,"(1, 0, 0)",-156.62953905501928,-152.52765156505987
761,ETH,Governance,"(0, 1, 0)",-159.86767579474738,-158.53547128457217
762,ETH,Habitat,"(1, 0, 0)",-223.02686735717782,-218.9249798672184
763,ETH,Health,"(1, 0, 0)",-134.50287929253378,-130.40099180257437
764,ETH,Infrastructure,"(0, 1, 3)",-149.70233367727855,-144.37351563657774
765,ETH,Readiness,"(2, 0, 2)",-210.70898422104136,-202.50520924112251
766,ETH,Sensitivity,"(1, 0, 0)",-172.3289712691493,-168.22708377918988
767,ETH,Social,"(2, 0, 0)",-244.11486896954057,-238.64568564959467
768,ETH,Vulnerability,"(2, 0, 3)",-216.77807490268324,-207.20700409277794
769,ETH,Water,"(1, 0, 0)",-283.9587156911618,-279.85682820120235
770,FIN,Capacity,"(1, 0, 0)",-207.0387258224789,-202.9368383325195
771,FIN,Economic,"(1, 1, 0)",-124.61176798055462,-121.94735896020421
772,FIN,Ecosystems,"(2, 0, 2)",-307.80644310301756,-299.60266812309874
773,FIN,Exposure,"(0, 1, 0)",-689.2990575720246,-687.9668530618494
774,FIN,Food,"(2, 0, 0)",-256.80916621966145,-251.33998289971555
775,FIN,Governance,"(1, 0, 0)",-166.50761027841972,-162.4057227884603
776,FIN,Habitat,"(1, 0, 1)",-228.57067842675605,-223.10149510681015
777,FIN,Health,"(2, 0, 1)",-175.21378341190527,-168.3773042619729
778,FIN,Infrastructure,"(2, 0, 0)",-211.29760332101307,-205.82842000106717
779,FIN,Readiness,"(2, 0, 0)",-171.55454679152197,-166.08536347157607
780,FIN,Sensitivity,"(0, 0, 2)",-258.20638939268656,-252.73720607274066
781,FIN,Social,"(2, 0, 0)",-220.82877007556135,-215.35958675561545
782,FIN,Vulnerability,"(1, 0, 0)",-267.77619979651035,-263.6743123065509
783,FIN,Water,"(2, 0, 2)",-369.50275900303166,-361.29898402311284
784,FJI,Capacity,"(0, 1, 0)",-147.8148472164999,-146.4826427063247
785,FJI,Economic,"(2, 0, 0)",-147.2819596825537,-141.8127763626078
786,FJI,Ecosystems,"(2, 0, 0)",-200.00009018337727,-194.53090686343137
787,FJI,Exposure,"(0, 1, 0)",-689.2990575720246,-687.9668530618494
788,FJI,Food,"(1, 0, 0)",-196.60667943185058,-192.50479194189117
789,FJI,Governance,"(1, 0, 0)",-100.06585081044611,-95.96396332048668
790,FJI,Habitat,"(2, 0, 1)",-266.1771276052127,-259.34064845528036
791,FJI,Health,"(1, 0, 0)",-163.2825497905348,-159.1806623005754
792,FJI,Infrastructure,"(0, 1, 0)",-91.03848561196239,-89.70628110178718
793,FJI,Readiness,"(1, 0, 0)",-144.46112223682357,-140.35923474686416
794,FJI,Sensitivity,"(1, 0, 0)",-187.14670710300734,-183.04481961304793
795,FJI,Social,"(2, 0, 1)",-184.91015752191043,-178.07367837197808
796,FJI,Vulnerability,"(1, 0, 0)",-185.50657090886594,-181.40468341890653
797,FJI,Water,"(1, 1, 0)",-455.9557576475592,-453.2913486272088
798,FRA,Capacity,"(3, 0, 0)",-263.02654154777736,-256.190062397845
799,FRA,Economic,"(0, 1, 1)",-154.61613710904345,-151.95172808869305
800,FRA,Ecosystems,"(1, 0, 0)",-314.60404218797504,-310.5021546980156
801,FRA,Exposure,"(0, 1, 0)",-689.2990575720246,-687.9668530618494
802,FRA,Food,"(0, 0, 1)",-238.5084433300941,-234.4065558401347
803,FRA,Governance,"(1, 0, 0)",-151.8733508080905,-147.77146331813108
804,FRA,Habitat,"(2, 0, 0)",-303.5612838550846,-298.0921005351387
805,FRA,Health,"(2, 0, 1)",-290.9889487178904,-284.15246956795806
806,FRA,Infrastructure,"(2, 0, 3)",-236.03834639941377,-226.46727558950846
807,FRA,Readiness,"(0, 1, 3)",-185.51894132718186,-180.19012328648105
808,FRA,Sensitivity,"(1, 0, 0)",-275.86672534454726,-271.7648378545878
809,FRA,Social,"(3, 0, 1)",-201.07701219245968,-192.87323721254083
810,FRA,Vulnerability,"(1, 0, 2)",-314.9335441640456,-308.09706501411324
811,FRA,Water,"(2, 0, 2)",-327.61057281231786,-319.40679783239904
812,FSM,Capacity,"(2, 0, 1)",-278.16193572632363,-271.3254565763913
813,FSM,Economic,"(2, 0, 0)",-203.95796589742514,-198.48878257747924
814,FSM,Ecosystems,"(2, 0, 1)",-300.7298790443337,-293.89339989440134
815,FSM,Exposure,"(0, 1, 0)",-689.2990575720246,-687.9668530618494
816,FSM,Food,"(1, 0, 0)",-241.20430607604894,-237.10241858608953
817,FSM,Governance,"(1, 0, 0)",-83.57045251867689,-79.46856502871746
818,FSM,Habitat,"(1, 1, 0)",-327.07157770175047,-324.40716868140004
819,FSM,Health,"(1, 0, 0)",-244.39316614026302,-240.2912786503036
820,FSM,Infrastructure,"(1, 0, 0)",-162.50033744926358,-158.39844995930417
821,FSM,Readiness,"(1, 0, 0)",-147.8476217454488,-143.7457342554894
822,FSM,Sensitivity,"(1, 0, 2)",-302.21938809839304,-295.3829089484607
823,FSM,Social,"(2, 0, 0)",-279.8856140764048,-274.4164307564589
824,FSM,Vulnerability,"(1, 0, 0)",-240.94893954512213,-236.84705205516272
825,FSM,Water,"(3, 0, 0)",-385.30468628388934,-378.468207133957
826,GAB,Capacity,"(1, 0, 3)",-246.80340881716387,-238.59963383724502
827,GAB,Economic,"(0, 1, 0)",-88.91299212244297,-87.58078761226777
828,GAB,Ecosystems,"(1, 1, 0)",-283.0681957021968,-280.4037866818464
829,GAB,Exposure,"(0, 1, 0)",-689.2990575720246,-687.9668530618494
830,GAB,Food,"(1, 0, 0)",-181.02373746477238,-176.92184997481297
831,GAB,Governance,"(3, 0, 1)",-132.13525323568246,-123.93147825576361
832,GAB,Habitat,"(2, 0, 0)",-292.13248809596683,-286.66330477602094
833,GAB,Health,"(2, 0, 0)",-160.88819196531458,-155.41900864536868
834,GAB,Infrastructure,"(1, 0, 0)",-228.21867151175186,-224.11678402179245
835,GAB,Readiness,"(1, 0, 0)",-132.2981327771248,-128.1962452871654
836,GAB,Sensitivity,"(1, 0, 0)",-187.5169630312437,-183.4150755412843
837,GAB,Social,"(2, 0, 0)",-253.06036219594807,-247.59117887600218
838,GAB,Vulnerability,"(1, 0, 0)",-238.35871295550706,-234.25682546554765
839,GAB,Water,"(3, 0, 0)",-517.2232915064071,-510.38681235647476
840,GBR,Capacity,"(1, 0, 0)",-268.25243707723405,-264.1505495872746
841,GBR,Economic,"(0, 1, 0)",-122.4505795749319,-121.11837506475669
842,GBR,Ecosystems,"(1, 0, 0)",-278.1917869462943,-274.0898994563349
843,GBR,Exposure,"(0, 1, 0)",-689.2990575720246,-687.9668530618494
844,GBR,Food,"(1, 0, 0)",-241.29585000630072,-237.19396251634132
845,GBR,Governance,"(2, 0, 3)",-176.59224038166985,-167.02116957176455
846,GBR,Habitat,"(2, 0, 0)",-283.18301080836477,-277.7138274884189
847,GBR,Health,"(2, 0, 0)",-324.36146902895246,-318.89228570900656
848,GBR,Infrastructure,"(2, 0, 0)",-189.0026410837495,-183.5334577638036
849,GBR,Readiness,"(2, 0, 2)",-184.39137157484538,-176.18759659492653
850,GBR,Sensitivity,"(1, 0, 0)",-228.40023309433377,-224.29834560437436
851,GBR,Social,"(1, 1, 0)",-204.37767088838115,-201.71326186803074
852,GBR,Vulnerability,"(2, 0, 0)",-283.7179599294402,-278.2487766094943
853,GBR,Water,"(1, 0, 0)",-321.902225685525,-317.8003381955656
854,GEO,Capacity,"(0, 0, 1)",-130.19725687189097,-126.09536938193155
855,GEO,Economic,"(0, 1, 0)",-104.45942601954732,-103.12722150937212
856,GEO,Ecosystems,"(1, 0, 2)",-258.6997627267858,-251.86328357685346
857,GEO,Exposure,"(0, 1, 0)",-689.2990575720246,-687.9668530618494
858,GEO,Food,"(0, 1, 0)",-169.22456035442698,-167.89235584425177
859,GEO,Governance,"(0, 1, 0)",-93.21341621333612,-91.88121170316091
860,GEO,Habitat,"(1, 0, 2)",-183.27048064799146,-176.4340014980591
861,GEO,Health,"(1, 0, 0)",-189.71463282168108,-185.61274533172167
862,GEO,Infrastructure,"(1, 0, 3)",-92.78633240026916,-84.58255742035031
863,GEO,Readiness,"(1, 1, 1)",-141.89446192734923,-137.8978483968236
864,GEO,Sensitivity,"(1, 0, 0)",-197.37089145206687,-193.26900396210746
865,GEO,Social,"(1, 0, 2)",-178.752237881714,-171.91575873178164
866,GEO,Vulnerability,"(1, 0, 3)",-191.39609330438915,-183.1923183244703
867,GEO,Water,"(3, 1, 0)",-380.52017748481757,-375.19135944411676
868,GHA,Capacity,"(0, 1, 1)",-165.41760177532421,-162.7531927549738
869,GHA,Economic,"(1, 0, 1)",-170.40836627194204,-164.93918295199614
870,GHA,Ecosystems,"(2, 0, 0)",-226.35876543237652,-220.88958211243062
871,GHA,Exposure,"(0, 1, 0)",-689.2990575720246,-687.9668530618494
872,GHA,Food,"(1, 0, 0)",-181.13404754144216,-177.03216005148275
873,GHA,Governance,"(1, 0, 0)",-136.6668246843658,-132.56493719440638
874,GHA,Habitat,"(1, 0, 1)",-209.98512866236675,-204.51594534242085
875,GHA,Health,"(0, 0, 2)",-122.89868159449796,-117.42949827455206
876,GHA,Infrastructure,"(0, 1, 0)",-123.13877596665101,-121.80657145647581
877,GHA,Readiness,"(1, 0, 3)",-200.51331113896407,-192.30953615904522
878,GHA,Sensitivity,"(1, 0, 0)",-148.78639606590636,-144.68450857594695
879,GHA,Social,"(0, 1, 0)",-199.93841881294438,-198.60621430276916
880,GHA,Vulnerability,"(3, 0, 1)",-202.73250655610943,-194.52873157619058
881,GHA,Water,"(2, 0, 0)",-357.31213626018626,-351.84295294024037
882,GIN,Capacity,"(1, 0, 1)",-213.97535423277697,-208.50617091283107
883,GIN,Economic,"(2, 0, 0)",-128.79337289170294,-123.32418957175705
884,GIN,Ecosystems,"(2, 0, 0)",-238.92407670513055,-233.45489338518465
885,GIN,Exposure,"(0, 1, 0)",-689.2990575720246,-687.9668530618494
886,GIN,Food,"(1, 0, 0)",-175.65754357171602,-171.5556560817566
887,GIN,Governance,"(0, 0, 3)",-141.5968290870676,-134.76034993713523
888,GIN,Habitat,"(1, 0, 1)",-209.25758974542103,-203.78840642547513
889,GIN,Health,"(1, 0, 0)",-122.29080606832801,-118.18891857836859
890,GIN,Infrastructure,"(1, 0, 3)",-245.09271251144173,-236.88893753152288
891,GIN,Readiness,"(1, 0, 1)",-174.24830182735923,-168.77911850741333
892,GIN,Sensitivity,"(1, 0, 0)",-158.71379928989907,-154.61191179993966
893,GIN,Social,"(2, 0, 0)",-255.67245607725408,-250.20327275730818
894,GIN,Vulnerability,"(1, 0, 0)",-210.04427136349196,-205.94238387353255
895,GIN,Water,"(1, 0, 0)",-277.9385871087087,-273.83669961874926
896,GMB,Capacity,"(1, 0, 0)",-189.43670398092715,-185.33481649096774
897,GMB,Economic,"(0, 1, 0)",-96.65147844896919,-95.31927393879398
898,GMB,Ecosystems,"(3, 0, 1)",-267.5216222229043,-259.31784724298547
899,GMB,Exposure,"(0, 1, 0)",-689.2990575720246,-687.9668530618494
900,GMB,Food,"(0, 1, 0)",-149.29947414861013,-147.9672696384349
901,GMB,Governance,"(2, 0, 0)",-130.77106910160236,-125.30188578165647
902,GMB,Habitat,"(2, 0, 0)",-240.5759132945401,-235.1067299745942
903,GMB,Health,"(3, 1, 2)",-132.0767269516935,-124.08349989064229
904,GMB,Infrastructure,"(1, 0, 0)",-129.4128625672434,-125.31097507728397
905,GMB,Readiness,"(3, 0, 0)",-153.89267379881335,-147.056194648881
906,GMB,Sensitivity,"(1, 0, 0)",-153.33901755157657,-149.23713006161717
907,GMB,Social,"(2, 0, 0)",-257.2214221671032,-251.7522388471573
908,GMB,Vulnerability,"(1, 0, 0)",-196.6959434460858,-192.5940559561264
909,GMB,Water,"(2, 0, 0)",-334.5422159108834,-329.0730325909375
910,GNB,Capacity,"(0, 1, 1)",-203.77414732421445,-201.10973830386405
911,GNB,Economic,"(1, 0, 0)",-88.99901536341441,-84.89712787345499
912,GNB,Ecosystems,"(1, 0, 0)",-275.072937724105,-270.97105023414554
913,GNB,Exposure,"(0, 1, 0)",-689.2990575720246,-687.9668530618494
914,GNB,Food,"(0, 1, 0)",-151.3196196060161,-149.98741509584087
915,GNB,Governance,"(1, 0, 0)",-140.57703936511473,-136.47515187515532
916,GNB,Habitat,"(1, 0, 1)",-197.77191838490947,-192.30273506496357
917,GNB,Health,"(2, 0, 0)",-140.96672947961008,-135.49754615966418
918,GNB,Infrastructure,"(1, 0, 3)",-245.09271251144173,-236.88893753152288
919,GNB,Readiness,"(2, 0, 2)",-158.42215885005925,-150.2183838701404
920,GNB,Sensitivity,"(1, 0, 0)",-168.55490056015321,-164.4530130701938
921,GNB,Social,"(2, 1, 3)",-265.6434427529277,-257.65021569187644
922,GNB,Vulnerability,"(1, 0, 0)",-220.20433200705102,-216.1024445170916
923,GNB,Water,"(2, 0, 0)",-429.3521136947621,-423.8829303748162
924,GNQ,Capacity,"(2, 0, 1)",-278.16193572632363,-271.3254565763913
925,GNQ,Economic,"(1, 1, 0)",-109.11982690654678,-106.45541788619637
926,GNQ,Ecosystems,"(1, 0, 0)",-229.9795450983076,-225.8776576083482
927,GNQ,Exposure,"(0, 1, 0)",-689.2990575720246,-687.9668530618494
928,GNQ,Food,"(1, 0, 3)",-204.5674613949945,-196.36368641507565
929,GNQ,Governance,"(2, 0, 0)",-156.6006045866887,-151.1314212667428
930,GNQ,Habitat,"(1, 0, 1)",-227.98540360439299,-222.5162202844471
931,GNQ,Health,"(1, 0, 1)",-127.32234145050512,-121.85315813055922
932,GNQ,Infrastructure,"(1, 0, 2)",-360.80183486164606,-353.9653557117137
933,GNQ,Readiness,"(2, 0, 0)",-179.5545259825755,-174.0853426626296
934,GNQ,Sensitivity,"(1, 0, 1)",-169.14546423806578,-163.6762809181199
935,GNQ,Social,"(1, 1, 0)",-225.5805706725581,-222.9161616522077
936,GNQ,Vulnerability,"(1, 0, 0)",-218.91103899091084,-214.80915150095143
937,GNQ,Water,"(1, 0, 2)",-665.7396431491634,-658.903163999231
938,GRC,Capacity,"(2, 0, 1)",-227.10775180169614,-220.27127265176378
939,GRC,Economic,"(1, 0, 0)",-143.59658970086068,-139.49470221090127
940,GRC,Ecosystems,"(3, 0, 0)",-293.6081859445374,-286.77170679460505
941,GRC,Exposure,"(0, 1, 0)",-689.2990575720246,-687.9668530618494
942,GRC,Food,"(1, 0, 3)",-208.57822064824012,-200.37444566832127
943,GRC,Governance,"(1, 0, 3)",-132.6022786607095,-124.39850368079064
944,GRC,Habitat,"(1, 0, 1)",-266.17013665147135,-260.70095333152545
945,GRC,Health,"(2, 0, 0)",-255.08395062122707,-249.61476730128118
946,GRC,Infrastructure,"(2, 0, 1)",-196.4700626789585,-189.63358352902614
947,GRC,Readiness,"(0, 1, 0)",-172.63620159760822,-171.303997087433
948,GRC,Sensitivity,"(1, 0, 0)",-239.49103111072674,-235.38914362076733
949,GRC,Social,"(1, 1, 1)",-180.37341836777213,-176.3768048372465
950,GRC,Vulnerability,"(1, 0, 0)",-284.5594706462283,-280.45758315626887
951,GRC,Water,"(1, 0, 0)",-353.75311367337963,-349.6512261834202
952,GRD,Capacity,"(2, 0, 2)",-242.70875598932483,-234.50498100940598
953,GRD,Economic,"(1, 0, 0)",-103.42348276772532,-99.3215952777659
954,GRD,Ecosystems,"(1, 0, 0)",-245.09566428815228,-240.99377679819287
955,GRD,Exposure,"(0, 1, 0)",-689.2990575720246,-687.9668530618494
956,GRD,Food,"(1, 0, 0)",-175.39568356489448,-171.29379607493507
957,GRD,Governance,"(1, 0, 0)",-138.9485886033326,-134.8467011133732
958,GRD,Habitat,"(2, 0, 1)",-344.06994055258673,-337.23346140265437
959,GRD,Health,"(0, 0, 2)",-185.6616901782673,-180.1925068583214
960,GRD,Infrastructure,"(3, 0, 0)",-289.31561849970325,-282.4791393497709
961,GRD,Readiness,"(1, 0, 0)",-155.41086845454242,-151.30898096458301
962,GRD,Sensitivity,"(2, 0, 0)",-201.84079266628422,-196.37160934633832
963,GRD,Social,"(3, 1, 2)",-184.27212353839337,-176.27889647734216
964,GRD,Vulnerability,"(1, 0, 0)",-249.55423823668144,-245.45235074672203
965,GRD,Water,"(2, 0, 0)",-358.99167086849184,-353.52248754854594
966,GTM,Capacity,"(3, 1, 2)",-181.3635582248709,-173.37033116381969
967,GTM,Economic,"(1, 0, 0)",-140.56744439124816,-136.46555690128875
968,GTM,Ecosystems,"(1, 0, 3)",-268.9903961672111,-260.78662118729227
969,GTM,Exposure,"(0, 1, 0)",-689.2990575720246,-687.9668530618494
970,GTM,Food,"(2, 0, 0)",-198.512398222864,-193.0432149029181
971,GTM,Governance,"(1, 0, 0)",-140.03133597859068,-135.92944848863127
972,GTM,Habitat,"(1, 0, 3)",-223.1209097432379,-214.91713476331904
973,GTM,Health,"(2, 0, 2)",-213.51902436016664,-205.3152493802478
974,GTM,Infrastructure,"(0, 1, 3)",-139.1749659767147,-133.8461479360139
975,GTM,Readiness,"(1, 0, 0)",-181.1751871851347,-177.07329969517528
976,GTM,Sensitivity,"(2, 0, 0)",-243.5811702048001,-238.1119868848542
977,GTM,Social,"(2, 0, 2)",-198.51433000968635,-190.3105550297675
978,GTM,Vulnerability,"(1, 0, 3)",-232.01471322513603,-223.8109382452172
979,GTM,Water,"(2, 0, 0)",-397.7407652854204,-392.2715819654745
980,GUY,Capacity,"(1, 0, 0)",-196.9560340831802,-192.8541465932208
981,GUY,Economic,"(0, 1, 0)",-130.48224656705457,-129.15004205687936
982,GUY,Ecosystems,"(1, 0, 1)",-244.41632397712337,-238.94714065717747
983,GUY,Exposure,"(0, 1, 0)",-689.2990575720246,-687.9668530618494
984,GUY,Food,"(2, 0, 0)",-165.70635539312906,-160.23717207318316
985,GUY,Governance,"(1, 0, 3)",-128.21777896785738,-120.01400398793854
986,GUY,Habitat,"(1, 0, 3)",-262.9234629991631,-254.71968801924427
987,GUY,Health,"(2, 0, 1)",-169.56958098705104,-162.73310183711868
988,GUY,Infrastructure,"(0, 1, 0)",-105.59394183971962,-104.26173732954442
989,GUY,Readiness,"(1, 0, 2)",-166.0630039931975,-159.22652484326514
990,GUY,Sensitivity,"(0, 1, 0)",-152.154606403317,-150.82240189314177
991,GUY,Social,"(0, 1, 2)",-214.70713796880335,-210.71052443827773
992,GUY,Vulnerability,"(1, 0, 0)",-200.55966013031062,-196.4577726403512
993,GUY,Water,"(2, 0, 0)",-374.8373913866883,-369.3682080667424
994,HND,Capacity,"(3, 0, 0)",-243.41017417484767,-236.5736950249153
995,HND,Economic,"(3, 0, 1)",-185.00766638966155,-176.8038914097427
996,HND,Ecosystems,"(2, 0, 0)",-230.50869852126812,-225.03951520132222
997,HND,Exposure,"(0, 1, 0)",-689.2990575720246,-687.9668530618494
998,HND,Food,"(1, 0, 0)",-232.1303534381994,-228.02846594823998
999,HND,Governance,"(0, 0, 2)",-138.94652234928603,-133.47733902934013
1000,HND,Habitat,"(1, 0, 1)",-255.94061022611265,-250.47142690616676
1001,HND,Health,"(1, 0, 0)",-186.5746323817401,-182.47274489178068
1002,HND,Infrastructure,"(1, 0, 0)",-169.10508646439436,-165.00319897443495
1003,HND,Readiness,"(0, 0, 2)",-198.2647564092864,-192.7955730893405
1004,HND,Sensitivity,"(1, 0, 1)",-205.60202415373132,-200.13284083378542
1005,HND,Social,"(1, 0, 0)",-185.63678605073704,-181.53489856077763
1006,HND,Vulnerability,"(2, 0, 0)",-248.50752850491858,-243.03834518497268
1007,HND,Water,"(2, 0, 0)",-350.0362138689615,-344.5670305490156
1008,HRV,Capacity,"(1, 0, 1)",-209.86938365110802,-204.40020033116213
