Country,Year,Feature,SHAP_Value
AFG,1995,Capacity,0.03226967618429727
AFG,1996,Capacity,0.032280973695321555
AFG,1997,Capacity,0.03242051079929179
AFG,1998,Capacity,0.032539218985928334
AFG,1999,Capacity,0.03239540873769398
AFG,2000,Capacity,0.03207183308662737
AFG,2001,Capacity,0.03100635300538073
AFG,2002,Capacity,0.028992538830209632
AFG,2003,Capacity,0.026874332844111677
AFG,2004,Capacity,0.0187112471975014
AFG,2005,Capacity,0.014958402720168762
AFG,2006,Capacity,0.013671598497511388
AFG,2007,Capacity,0.011863893528690371
AFG,2008,Capacity,0.00288887266448907
AFG,2009,Capacity,0.0023126486364589333
AFG,2010,Capacity,0.0013460908099655654
AFG,2011,Capacity,0.0013178895646524637
AFG,2012,Capacity,0.0002751490356148812
AFG,2013,Capacity,0.0009588136688780483
AFG,2014,Capacity,0.0004880935734412281
AFG,2015,Capacity,0.0005449849373065674
AFG,2016,Capacity,-0.00021498681467851423
AFG,2017,Capacity,-0.0077912806165407866
AFG,2018,Capacity,-0.0010845299227940787
AFG,2019,Capacity,-0.003638088673209071
AFG,2020,Capacity,-0.0035059886158216765
AFG,2021,Capacity,-0.003716143605845057
AFG,2022,Capacity,-0.0020542791923713033
AFG,2023,Capacity,-0.002037791769940536
AFG,2024,Capacity,-0.0028811447799864
AFG,2025,Capacity,-0.003637775991075733
AFG,2026,Capacity,-0.0038219891814169358
AFG,2027,Capacity,-0.005081953887375194
AFG,2028,Capacity,-0.0059673247489262695
AFG,2029,Capacity,-0.006311731641505082
AFG,2030,Capacity,-0.006472071415117883
AFG,2031,Capacity,-0.006771677132737598
AFG,2032,Capacity,-0.006952556289027243
AFG,2033,Capacity,-0.0071335963065159045
AFG,2034,Capacity,-0.00743779749563618
AFG,2035,Capacity,-0.008068310987068032
AFG,2036,Capacity,-0.008374119760787054
AFG,2037,Capacity,-0.008411088155489861
AFG,2038,Capacity,-0.008495570880411684
AFG,2039,Capacity,-0.008470662262095648
AFG,2040,Capacity,-0.008542016928929717
AGO,1995,Capacity,0.02516855974224737
AGO,1996,Capacity,0.02520849085640949
AGO,1997,Capacity,0.025214256711512704
AGO,1998,Capacity,0.025240382585012447
AGO,1999,Capacity,0.02522872675486932
AGO,2000,Capacity,0.025230794754203853
AGO,2001,Capacity,0.025645498773279318
AGO,2002,Capacity,0.025275288053985972
AGO,2003,Capacity,0.025287440314434508
AGO,2004,Capacity,0.025221590955174962
AGO,2005,Capacity,0.025228720592630847
AGO,2006,Capacity,0.025009764103986237
AGO,2007,Capacity,0.024835791655471808
AGO,2008,Capacity,0.02490511225896222
AGO,2009,Capacity,0.025026695844375935
AGO,2010,Capacity,0.025053665660008422
AGO,2011,Capacity,0.024643314368595105
AGO,2012,Capacity,0.022194672252433705
AGO,2013,Capacity,0.007656986438198817
AGO,2014,Capacity,0.001844611216723466
AGO,2015,Capacity,0.002417960109780977
AGO,2016,Capacity,0.0024585174196309215
AGO,2017,Capacity,0.001968583335964807
AGO,2018,Capacity,0.0014147088413280127
AGO,2019,Capacity,0.00019280659529264147
AGO,2020,Capacity,0.00037051523073835363
AGO,2021,Capacity,0.0009226264450830782
